timestamp,stockfish_difficulty,games_played,ai_wins,stockfish_wins,draws,skipped,ai_win_rate,draw_rate
2025-04-20 11:49:06,1,50,4,37,9,0,0.08,0.18
2025-04-20 13:33:21,3,50,3,36,11,0,0.06,0.22
2025-04-20 14:50:35,5,50,2,42,6,0,0.04,0.12
2025-04-20 16:11:08,10,50,1,42,7,0,0.02,0.14
