timestamp,stockfish_difficulty,games_played,ai_wins,stockfish_wins,draws,skipped,ai_win_rate,draw_rate
2025-04-19 15:36:46,1,50,4,34,12,0,0.08,0.24
2025-04-19 19:57:16,3,50,1,38,11,0,0.02,0.22
2025-04-19 21:24:29,5,50,2,41,7,0,0.04,0.14
2025-04-19 22:53:54,10,50,1,41,8,0,0.02,0.16
