timestamp,stockfish_difficulty,games_played,ai_wins,stockfish_wins,draws,skipped,ai_win_rate,draw_rate
2025-04-20 20:11:14,1,50,3,35,12,0,0.06,0.24
2025-04-20 22:04:53,3,50,3,40,7,0,0.06,0.14
2025-04-20 23:50:54,5,50,2,41,7,0,0.04,0.14
2025-04-21 00:58:09,10,50,1,43,6,0,0.02,0.12
